dtpricon;metastaticos;fetar;sexo;sitio;escolaridade;tempo_tto;obito1ano;pop
2001;não metastáticos;<60;feminino;reto;baixa;<=60; 2; 58
2001;não metastáticos;<60;feminino;reto;baixa;NA; 0;  6
2001;não metastáticos;>=60;masculino;colon;alta;>60; 2; 12
2001;não metastáticos;>=60;masculino;colon;alta;<=60;10; 79
2001;não metastáticos;>=60;masculino;colon;alta;NA; 1;  1
2001;não metastáticos;>=60;masculino;colon;baixa;>60; 2; 17
2001;não metastáticos;>=60;masculino;colon;baixa;<=60;21; 81
2001;não metastáticos;>=60;masculino;colon;baixa;NA; 1;  2
2001;não metastáticos;>=60;masculino;reto;alta;>60; 2; 28
2001;não metastáticos;>=60;masculino;reto;alta;<=60; 5; 79
2001;não metastáticos;>=60;masculino;reto;alta;NA; 2;  5
2001;não metastáticos;>=60;masculino;reto;baixa;>60; 3; 32
2001;não metastáticos;>=60;masculino;reto;baixa;<=60; 8; 85
2001;não metastáticos;>=60;masculino;reto;baixa;NA; 2;  7
2001;não metastáticos;>=60;feminino;colon;alta;>60; 0; 14
2001;não metastáticos;>=60;feminino;colon;alta;<=60;14; 98
2001;não metastáticos;>=60;feminino;colon;alta;NA; 1;  2
2001;não metastáticos;>=60;feminino;colon;baixa;>60; 1; 22
2001;não metastáticos;>=60;feminino;colon;baixa;<=60;15; 82
2001;não metastáticos;>=60;feminino;colon;baixa;NA; 3;  4
2001;não metastáticos;>=60;feminino;reto;alta;>60; 1; 32
2001;não metastáticos;>=60;feminino;reto;alta;<=60; 8; 68
2001;não metastáticos;>=60;feminino;reto;alta;NA; 0;  2
2001;não metastáticos;>=60;feminino;reto;baixa;>60; 2; 35
2001;não metastáticos;>=60;feminino;reto;baixa;<=60; 8; 77
2001;não metastáticos;>=60;feminino;reto;baixa;NA; 2;  7
2001;metastáticos;<60;masculino;colon;alta;>60; 2; 11
2001;metastáticos;<60;masculino;colon;alta;<=60;10; 17
2001;metastáticos;<60;masculino;colon;alta;NA; 4;  4
2001;metastáticos;<60;masculino;colon;baixa;>60; 1;  4
2001;metastáticos;<60;masculino;colon;baixa;<=60; 8; 16
2001;metastáticos;<60;masculino;colon;baixa;NA; 3;  3
2001;metastáticos;<60;masculino;reto;alta;>60; 1;  6
2001;metastáticos;<60;masculino;reto;alta;<=60;13; 31
2001;metastáticos;<60;masculino;reto;alta;NA; 2;  2
2001;metastáticos;<60;masculino;reto;baixa;>60; 4; 10
2001;metastáticos;<60;masculino;reto;baixa;<=60; 4; 20
2001;metastáticos;<60;masculino;reto;baixa;NA; 2;  3
2001;metastáticos;<60;feminino;colon;alta;>60; 3;  7
2001;metastáticos;<60;feminino;colon;alta;<=60;16; 39
2001;metastáticos;<60;feminino;colon;alta;NA; 3;  3
2001;metastáticos;<60;feminino;colon;baixa;>60; 1;  8
2001;metastáticos;<60;feminino;colon;baixa;<=60; 8; 28
2001;metastáticos;<60;feminino;colon;baixa;NA; 2;  7
2001;metastáticos;<60;feminino;reto;alta;>60; 2;  7
2001;metastáticos;<60;feminino;reto;alta;<=60; 8; 19
2001;metastáticos;<60;feminino;reto;alta;NA; 2;  3
2001;metastáticos;<60;feminino;reto;baixa;>60; 2; 11
2001;metastáticos;<60;feminino;reto;baixa;<=60; 8; 18
2001;metastáticos;<60;feminino;reto;baixa;NA; 1;  1
2001;metastáticos;>=60;masculino;colon;alta;>60; 1; 10
2001;metastáticos;>=60;masculino;colon;alta;<=60;16; 32
2001;metastáticos;>=60;masculino;colon;alta;NA; 2;  2
2001;metastáticos;>=60;masculino;colon;baixa;>60; 4;  6
2001;metastáticos;>=60;masculino;colon;baixa;<=60;10; 23
2001;metastáticos;>=60;masculino;colon;baixa;NA; 3;  5
2001;metastáticos;>=60;masculino;reto;alta;>60; 2;  9
2001;metastáticos;>=60;masculino;reto;alta;<=60; 9; 18
2001;metastáticos;>=60;masculino;reto;alta;NA; 7;  8
2001;metastáticos;>=60;masculino;reto;baixa;>60; 3; 16
2001;metastáticos;>=60;masculino;reto;baixa;<=60;11; 22
2001;metastáticos;>=60;masculino;reto;baixa;NA; 6;  8
2001;metastáticos;>=60;feminino;colon;alta;>60; 2;  7
2001;metastáticos;>=60;feminino;colon;alta;<=60;14; 26
2001;metastáticos;>=60;feminino;colon;alta;NA; 1;  2
2001;metastáticos;>=60;feminino;colon;baixa;>60; 1;  6
2001;metastáticos;>=60;feminino;colon;baixa;<=60;14; 30
2001;metastáticos;>=60;feminino;colon;baixa;NA; 5;  6
2001;metastáticos;>=60;feminino;reto;alta;>60; 1;  4
2001;metastáticos;>=60;feminino;reto;alta;<=60; 6; 18
2001;metastáticos;>=60;feminino;reto;alta;NA; 0;  1
2001;metastáticos;>=60;feminino;reto;baixa;>60; 2; 11
2001;metastáticos;>=60;feminino;reto;baixa;<=60; 8; 20
2001;metastáticos;>=60;feminino;reto;baixa;NA; 2;  2
2002;não metastáticos;<60;masculino;colon;alta;>60; 3; 23
2002;não metastáticos;<60;masculino;colon;alta;<=60;14; 87
2002;não metastáticos;<60;masculino;colon;alta;NA; 0;  2
2002;não metastáticos;<60;masculino;colon;baixa;>60; 1; 19
2002;não metastáticos;<60;masculino;colon;baixa;<=60; 3; 73
2002;não metastáticos;<60;masculino;colon;baixa;NA; 1;  2
2002;não metastáticos;<60;masculino;reto;alta;>60; 0; 31
2002;não metastáticos;<60;masculino;reto;alta;<=60; 7; 94
2002;não metastáticos;<60;masculino;reto;alta;NA; 2;  6
2002;não metastáticos;<60;masculino;reto;baixa;>60; 3; 41
2002;não metastáticos;<60;masculino;reto;baixa;<=60; 9; 85
2002;não metastáticos;<60;masculino;reto;baixa;NA; 2;  5
2002;não metastáticos;<60;feminino;colon;alta;>60; 1; 28
2002;não metastáticos;<60;feminino;colon;alta;<=60;13;125
2002;não metastáticos;<60;feminino;colon;alta;NA; 0;  2
2002;não metastáticos;<60;feminino;colon;baixa;>60; 0; 21
2002;não metastáticos;<60;feminino;colon;baixa;<=60; 6; 81
2002;não metastáticos;<60;feminino;colon;baixa;NA; 0;  1
2002;não metastáticos;<60;feminino;reto;alta;>60; 3; 34
2002;não metastáticos;<60;feminino;reto;alta;<=60; 9;100
2002;não metastáticos;<60;feminino;reto;alta;NA; 4;  8
2002;não metastáticos;<60;feminino;reto;baixa;>60; 2; 36
2002;não metastáticos;<60;feminino;reto;baixa;<=60; 4; 90
2002;não metastáticos;<60;feminino;reto;baixa;NA; 0;  7
2002;não metastáticos;>=60;masculino;colon;alta;>60; 4; 27
2002;não metastáticos;>=60;masculino;colon;alta;<=60;13; 99
2002;não metastáticos;>=60;masculino;colon;alta;NA; 0;  5
2002;não metastáticos;>=60;masculino;colon;baixa;>60; 2; 25
2002;não metastáticos;>=60;masculino;colon;baixa;<=60;25;122
2002;não metastáticos;>=60;masculino;colon;baixa;NA; 4;  6
2002;não metastáticos;>=60;masculino;reto;alta;>60; 4; 52
2002;não metastáticos;>=60;masculino;reto;alta;<=60;13; 78
2002;não metastáticos;>=60;masculino;reto;alta;NA; 1;  6
2002;não metastáticos;>=60;masculino;reto;baixa;>60; 8; 55
2002;não metastáticos;>=60;masculino;reto;baixa;<=60;20;130
2002;não metastáticos;>=60;masculino;reto;baixa;NA; 6; 14
2002;não metastáticos;>=60;feminino;colon;alta;>60; 3; 27
2002;não metastáticos;>=60;feminino;colon;alta;<=60;25;110
2002;não metastáticos;>=60;feminino;colon;alta;NA; 2;  5
2002;não metastáticos;>=60;feminino;colon;baixa;>60; 3; 27
2002;não metastáticos;>=60;feminino;colon;baixa;<=60;22;119
2002;não metastáticos;>=60;feminino;colon;baixa;NA; 0;  8
2002;não metastáticos;>=60;feminino;reto;alta;>60; 2; 29
2002;não metastáticos;>=60;feminino;reto;alta;<=60;18; 98
2002;não metastáticos;>=60;feminino;reto;alta;NA; 0;  5
2002;não metastáticos;>=60;feminino;reto;baixa;>60; 5; 59
2002;não metastáticos;>=60;feminino;reto;baixa;<=60;17;102
2002;não metastáticos;>=60;feminino;reto;baixa;NA; 4; 10
2002;metastáticos;<60;masculino;colon;alta;>60; 2; 13
2002;metastáticos;<60;masculino;colon;alta;<=60;14; 33
2002;metastáticos;<60;masculino;colon;alta;NA; 3;  7
2002;metastáticos;<60;masculino;colon;baixa;>60; 2;  9
2002;metastáticos;<60;masculino;colon;baixa;<=60; 7; 22
2002;metastáticos;<60;masculino;colon;baixa;NA; 4;  5
2002;metastáticos;<60;masculino;reto;alta;>60; 3;  9
2002;metastáticos;<60;masculino;reto;alta;<=60; 7; 22
2002;metastáticos;<60;masculino;reto;alta;NA; 1;  2
2002;metastáticos;<60;masculino;reto;baixa;>60; 7; 14
2002;metastáticos;<60;masculino;reto;baixa;<=60; 8; 24
2002;metastáticos;<60;masculino;reto;baixa;NA; 4;  4
2002;metastáticos;<60;feminino;colon;alta;>60; 4; 11
2002;metastáticos;<60;feminino;colon;alta;<=60;21; 55
2002;metastáticos;<60;feminino;colon;alta;NA; 3;  3
2002;metastáticos;<60;feminino;colon;baixa;>60; 1;  9
2002;metastáticos;<60;feminino;colon;baixa;<=60;10; 29
2002;metastáticos;<60;feminino;colon;baixa;NA; 2;  2
2002;metastáticos;<60;feminino;reto;alta;>60; 0;  4
2002;metastáticos;<60;feminino;reto;alta;<=60; 6; 11
2002;metastáticos;<60;feminino;reto;alta;NA; 3;  3
2002;metastáticos;<60;feminino;reto;baixa;>60; 3; 14
2002;metastáticos;<60;feminino;reto;baixa;<=60; 9; 24
2002;metastáticos;<60;feminino;reto;baixa;NA; 4;  5
2002;metastáticos;>=60;masculino;colon;alta;>60; 1;  8
2002;metastáticos;>=60;masculino;colon;alta;<=60;14; 31
2002;metastáticos;>=60;masculino;colon;alta;NA; 3;  8
2002;metastáticos;>=60;masculino;colon;baixa;>60; 2; 10
2002;metastáticos;>=60;masculino;colon;baixa;<=60;16; 31
2002;metastáticos;>=60;masculino;colon;baixa;NA; 6;  9
2002;metastáticos;>=60;masculino;reto;alta;>60; 2; 11
2002;metastáticos;>=60;masculino;reto;alta;<=60; 7; 18
2002;metastáticos;>=60;masculino;reto;alta;NA; 1;  1
2002;metastáticos;>=60;masculino;reto;baixa;>60; 3;  6
2002;metastáticos;>=60;masculino;reto;baixa;<=60; 3; 21
2002;metastáticos;>=60;masculino;reto;baixa;NA; 8;  9
2002;metastáticos;>=60;feminino;colon;alta;>60; 5; 14
2002;metastáticos;>=60;feminino;colon;alta;<=60;18; 35
2002;metastáticos;>=60;feminino;colon;alta;NA; 2;  3
2002;metastáticos;>=60;feminino;colon;baixa;>60; 3; 17
2002;metastáticos;>=60;feminino;colon;baixa;<=60;25; 45
2002;metastáticos;>=60;feminino;colon;baixa;NA; 5;  6
2002;metastáticos;>=60;feminino;reto;alta;>60; 0;  6
2002;metastáticos;>=60;feminino;reto;alta;<=60; 9; 23
2002;metastáticos;>=60;feminino;reto;alta;NA; 2;  4
2002;metastáticos;>=60;feminino;reto;baixa;>60; 8; 20
2002;metastáticos;>=60;feminino;reto;baixa;<=60;13; 24
2002;metastáticos;>=60;feminino;reto;baixa;NA; 7;  9
2003;não metastáticos;<60;masculino;colon;alta;>60; 1; 16
2003;não metastáticos;<60;masculino;colon;alta;<=60;16;103
2003;não metastáticos;<60;masculino;colon;alta;NA; 0;  3
2003;não metastáticos;<60;masculino;colon;baixa;>60; 0; 15
2003;não metastáticos;<60;masculino;colon;baixa;<=60; 6; 91
2003;não metastáticos;<60;masculino;colon;baixa;NA; 2;  4
2003;não metastáticos;<60;masculino;reto;alta;>60; 2; 49
2003;não metastáticos;<60;masculino;reto;alta;<=60; 9;110
2003;não metastáticos;<60;masculino;reto;alta;NA; 0;  2
2003;não metastáticos;<60;masculino;reto;baixa;>60; 4; 45
2003;não metastáticos;<60;masculino;reto;baixa;<=60;11; 89
2003;não metastáticos;<60;masculino;reto;baixa;NA; 0;  1
2003;não metastáticos;<60;feminino;colon;alta;>60; 2; 21
2003;não metastáticos;<60;feminino;colon;alta;<=60; 7;121
2003;não metastáticos;<60;feminino;colon;alta;NA; 0;  4
2003;não metastáticos;<60;feminino;colon;baixa;>60; 4; 24
2003;não metastáticos;<60;feminino;colon;baixa;<=60;15; 93
2003;não metastáticos;<60;feminino;colon;baixa;NA; 1;  3
2003;não metastáticos;<60;feminino;reto;alta;>60; 4; 45
2003;não metastáticos;<60;feminino;reto;alta;<=60; 6;112
2003;não metastáticos;<60;feminino;reto;baixa;>60; 5; 46
2003;não metastáticos;<60;feminino;reto;baixa;<=60; 9;116
2003;não metastáticos;>=60;masculino;colon;alta;>60; 5; 30
2003;não metastáticos;>=60;masculino;colon;alta;<=60;21;122
2003;não metastáticos;>=60;masculino;colon;alta;NA; 6; 10
2003;não metastáticos;>=60;masculino;colon;baixa;>60; 4; 34
2003;não metastáticos;>=60;masculino;colon;baixa;<=60;17;103
2003;não metastáticos;>=60;masculino;colon;baixa;NA; 3;  5
2003;não metastáticos;>=60;masculino;reto;alta;>60; 3; 42
2003;não metastáticos;>=60;masculino;reto;alta;<=60;15;117
2003;não metastáticos;>=60;masculino;reto;alta;NA; 0;  4
2003;não metastáticos;>=60;masculino;reto;baixa;>60; 7; 61
2003;não metastáticos;>=60;masculino;reto;baixa;<=60;22;138
2003;não metastáticos;>=60;masculino;reto;baixa;NA; 3;  5
2003;não metastáticos;>=60;feminino;colon;alta;>60; 1; 26
2003;não metastáticos;>=60;feminino;colon;alta;<=60;32;148
2003;não metastáticos;>=60;feminino;colon;alta;NA; 1;  1
2003;não metastáticos;>=60;feminino;colon;baixa;>60; 3; 26
2003;não metastáticos;>=60;feminino;colon;baixa;<=60;19;157
2003;não metastáticos;>=60;feminino;colon;baixa;NA; 2;  3
2003;não metastáticos;>=60;feminino;reto;alta;>60; 2; 42
2003;não metastáticos;>=60;feminino;reto;alta;<=60;13; 74
2003;não metastáticos;>=60;feminino;reto;baixa;>60; 7; 51
2003;não metastáticos;>=60;feminino;reto;baixa;<=60;10;131
2003;não metastáticos;>=60;feminino;reto;baixa;NA; 3;  5
2003;metastáticos;<60;masculino;colon;alta;>60; 4; 18
2003;metastáticos;<60;masculino;colon;alta;<=60;22; 44
2003;metastáticos;<60;masculino;colon;alta;NA; 2;  2
2003;metastáticos;<60;masculino;colon;baixa;>60; 3;  9
2003;metastáticos;<60;masculino;colon;baixa;<=60;13; 27
2003;metastáticos;<60;masculino;colon;baixa;NA; 2;  2
2003;metastáticos;<60;masculino;reto;alta;>60; 3; 11
2003;metastáticos;<60;masculino;reto;alta;<=60;11; 29
2003;metastáticos;<60;masculino;reto;alta;NA; 3;  4
2003;metastáticos;<60;masculino;reto;baixa;>60; 3; 15
2003;metastáticos;<60;masculino;reto;baixa;<=60;15; 29
2003;metastáticos;<60;masculino;reto;baixa;NA; 2;  2
2003;metastáticos;<60;feminino;colon;alta;>60; 2;  7
2003;metastáticos;<60;feminino;colon;alta;<=60;27; 59
2003;metastáticos;<60;feminino;colon;alta;NA; 6;  6
2003;metastáticos;<60;feminino;colon;baixa;>60; 3;  9
2003;metastáticos;<60;feminino;colon;baixa;<=60;19; 35
2003;metastáticos;<60;feminino;colon;baixa;NA; 3;  6
2003;metastáticos;<60;feminino;reto;alta;>60; 0;  3
2003;metastáticos;<60;feminino;reto;alta;<=60; 8; 22
2003;metastáticos;<60;feminino;reto;alta;NA; 2;  2
2003;metastáticos;<60;feminino;reto;baixa;>60; 3; 19
2003;metastáticos;<60;feminino;reto;baixa;<=60; 4; 23
2003;metastáticos;<60;feminino;reto;baixa;NA; 1;  2
2003;metastáticos;>=60;masculino;colon;alta;>60; 0;  7
2003;metastáticos;>=60;masculino;colon;alta;<=60;21; 37
2003;metastáticos;>=60;masculino;colon;alta;NA; 4;  4
2003;metastáticos;>=60;masculino;colon;baixa;>60; 1;  9
2003;metastáticos;>=60;masculino;colon;baixa;<=60;24; 41
2003;metastáticos;>=60;masculino;colon;baixa;NA; 5;  6
2003;metastáticos;>=60;masculino;reto;alta;>60; 4; 16
2003;metastáticos;>=60;masculino;reto;alta;<=60;16; 26
2003;metastáticos;>=60;masculino;reto;alta;NA; 0;  3
2003;metastáticos;>=60;masculino;reto;baixa;>60; 4; 18
2003;metastáticos;>=60;masculino;reto;baixa;<=60;15; 37
2003;metastáticos;>=60;masculino;reto;baixa;NA; 3;  3
2003;metastáticos;>=60;feminino;colon;alta;>60; 4;  8
2003;metastáticos;>=60;feminino;colon;alta;<=60;16; 45
2003;metastáticos;>=60;feminino;colon;alta;NA; 5;  5
2003;metastáticos;>=60;feminino;colon;baixa;>60; 2; 13
2003;metastáticos;>=60;feminino;colon;baixa;<=60;21; 45
2003;metastáticos;>=60;feminino;colon;baixa;NA; 5;  6
2003;metastáticos;>=60;feminino;reto;alta;>60; 1;  9
2003;metastáticos;>=60;feminino;reto;alta;<=60;10; 14
2003;metastáticos;>=60;feminino;reto;alta;NA; 5;  5
2003;metastáticos;>=60;feminino;reto;baixa;>60; 3; 16
2003;metastáticos;>=60;feminino;reto;baixa;<=60;12; 24
2003;metastáticos;>=60;feminino;reto;baixa;NA; 2;  2
2004;não metastáticos;<60;masculino;colon;alta;>60; 1; 27
2004;não metastáticos;<60;masculino;colon;alta;<=60;12;139
2004;não metastáticos;<60;masculino;colon;baixa;>60; 2; 23
2004;não metastáticos;<60;masculino;colon;baixa;<=60; 8; 95
2004;não metastáticos;<60;masculino;colon;baixa;NA; 0;  2
2004;não metastáticos;<60;masculino;reto;alta;>60; 4; 55
2004;não metastáticos;<60;masculino;reto;alta;<=60;12;121
2004;não metastáticos;<60;masculino;reto;alta;NA; 2;  3
2004;não metastáticos;<60;masculino;reto;baixa;>60; 3; 61
2004;não metastáticos;<60;masculino;reto;baixa;<=60;14;128
2004;não metastáticos;<60;masculino;reto;baixa;NA; 1;  4
2004;não metastáticos;<60;feminino;colon;alta;>60; 1; 32
2004;não metastáticos;<60;feminino;colon;alta;<=60;10;140
2004;não metastáticos;<60;feminino;colon;alta;NA; 0;  2
2004;não metastáticos;<60;feminino;colon;baixa;>60; 1; 32
2004;não metastáticos;<60;feminino;colon;baixa;<=60; 5;104
2004;não metastáticos;<60;feminino;colon;baixa;NA; 1;  3
2004;não metastáticos;<60;feminino;reto;alta;>60; 1; 44
2004;não metastáticos;<60;feminino;reto;alta;<=60; 8;114
2004;não metastáticos;<60;feminino;reto;alta;NA; 0;  7
2004;não metastáticos;<60;feminino;reto;baixa;>60; 5; 55
2004;não metastáticos;<60;feminino;reto;baixa;<=60; 6;112
2004;não metastáticos;<60;feminino;reto;baixa;NA; 1;  1
2004;não metastáticos;>=60;masculino;colon;alta;>60; 3; 16
2004;não metastáticos;>=60;masculino;colon;alta;<=60;32;126
2004;não metastáticos;>=60;masculino;colon;alta;NA; 0;  2
2004;não metastáticos;>=60;masculino;colon;baixa;>60; 3; 38
2004;não metastáticos;>=60;masculino;colon;baixa;<=60;24;133
2004;não metastáticos;>=60;masculino;colon;baixa;NA; 4;  7
2004;não metastáticos;>=60;masculino;reto;alta;>60; 6; 54
2004;não metastáticos;>=60;masculino;reto;alta;<=60;21;139
2004;não metastáticos;>=60;masculino;reto;alta;NA; 1;  4
2004;não metastáticos;>=60;masculino;reto;baixa;>60;10; 71
2004;não metastáticos;>=60;masculino;reto;baixa;<=60;23;156
2004;não metastáticos;>=60;masculino;reto;baixa;NA; 4;  6
2004;não metastáticos;>=60;feminino;colon;alta;>60; 2; 25
2004;não metastáticos;>=60;feminino;colon;alta;<=60;28;130
2004;não metastáticos;>=60;feminino;colon;alta;NA; 0;  8
2004;não metastáticos;>=60;feminino;colon;baixa;>60; 1; 40
2004;não metastáticos;>=60;feminino;colon;baixa;<=60;16;161
2004;não metastáticos;>=60;feminino;colon;baixa;NA; 1;  3
2004;não metastáticos;>=60;feminino;reto;alta;>60; 9; 42
2004;não metastáticos;>=60;feminino;reto;alta;<=60;15;103
2004;não metastáticos;>=60;feminino;reto;alta;NA; 1;  2
2004;não metastáticos;>=60;feminino;reto;baixa;>60; 9; 79
2004;não metastáticos;>=60;feminino;reto;baixa;<=60;24;140
2004;não metastáticos;>=60;feminino;reto;baixa;NA; 5;  9
2004;metastáticos;<60;masculino;colon;alta;>60; 2; 16
